Score,Fold,Attributes,mean
0.7450980392156863,1,everything,0.7509803921568627
0.7058823529411765,1,age,0.6843137254901961
0.7843137254901961,1,Hypertension,0.7470588235294118
0.7647058823529411,1,heart_disease,0.7490196078431373
0.7450980392156863,1,ever_married,0.7509803921568627
0.803921568627451,1,avg_glucose_level,0.7509803921568627
0.7450980392156863,1,bmi,0.7450980392156863
0.7647058823529411,1,Govt job,0.7568627450980392
0.7450980392156863,1,children,0.7470588235294118
0.7450980392156863,1,Self employed,0.7509803921568627
0.7450980392156863,1,Never_worked,0.7450980392156863
0.7450980392156863,1,private,0.7490196078431373
0.7647058823529411,1,smokes,0.7490196078431373
0.7647058823529411,1,never smoked,0.7549019607843137
0.7450980392156863,1,formerly smoked,0.7509803921568627
0.6666666666666666,2,everything,0.7509803921568627
0.6862745098039216,2,age,0.6843137254901961
0.6666666666666666,2,Hypertension,0.7470588235294118
0.6470588235294118,2,heart_disease,0.7490196078431373
0.6666666666666666,2,ever_married,0.7509803921568627
0.7058823529411765,2,avg_glucose_level,0.7509803921568627
0.6666666666666666,2,bmi,0.7450980392156863
0.6862745098039216,2,Govt job,0.7568627450980392
0.6470588235294118,2,children,0.7470588235294118
0.6470588235294118,2,Self employed,0.7509803921568627
0.6470588235294118,2,Never_worked,0.7450980392156863
0.6470588235294118,2,private,0.7490196078431373
0.6470588235294118,2,smokes,0.7490196078431373
0.6666666666666666,2,never smoked,0.7549019607843137
0.6666666666666666,2,formerly smoked,0.7509803921568627
0.7843137254901961,3,everything,0.7509803921568627
0.6862745098039216,3,age,0.6843137254901961
0.7843137254901961,3,Hypertension,0.7470588235294118
0.7843137254901961,3,heart_disease,0.7490196078431373
0.7843137254901961,3,ever_married,0.7509803921568627
0.7647058823529411,3,avg_glucose_level,0.7509803921568627
0.803921568627451,3,bmi,0.7450980392156863
0.7843137254901961,3,Govt job,0.7568627450980392
0.7843137254901961,3,children,0.7470588235294118
0.7843137254901961,3,Self employed,0.7509803921568627
0.7843137254901961,3,Never_worked,0.7450980392156863
0.7843137254901961,3,private,0.7490196078431373
0.8235294117647058,3,smokes,0.7490196078431373
0.7843137254901961,3,never smoked,0.7549019607843137
0.7647058823529411,3,formerly smoked,0.7509803921568627
0.7254901960784313,4,everything,0.7509803921568627
0.6274509803921569,4,age,0.6843137254901961
0.7058823529411765,4,Hypertension,0.7470588235294118
0.7058823529411765,4,heart_disease,0.7490196078431373
0.7254901960784313,4,ever_married,0.7509803921568627
0.6470588235294118,4,avg_glucose_level,0.7509803921568627
0.7058823529411765,4,bmi,0.7450980392156863
0.7450980392156863,4,Govt job,0.7568627450980392
0.7254901960784313,4,children,0.7470588235294118
0.7450980392156863,4,Self employed,0.7509803921568627
0.7254901960784313,4,Never_worked,0.7450980392156863
0.7254901960784313,4,private,0.7490196078431373
0.6862745098039216,4,smokes,0.7490196078431373
0.7254901960784313,4,never smoked,0.7549019607843137
0.7254901960784313,4,formerly smoked,0.7509803921568627
0.6470588235294118,5,everything,0.7509803921568627
0.5686274509803921,5,age,0.6843137254901961
